run_id,architecture,architecture_label,load,repetition,seed,status,successful_tasks,failed_tasks,duration_sec,throughput_tasks_sec,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,cpu_time_sec,cpu_core_equivalent_percent,cpu_machine_normalized_percent,rss_start_mb,rss_end_mb,rss_peak_mb,cfp,propose,refuse,award,reject,accept,result,fail,feedback,cnp_messages_total,messages_per_task,reassignments,jain_fairness,recovered_tasks,duplicate_effects,pending_final,lag_final,error
ma_20260909T160812Z_34016,D,autonomous_memory_on,500,2,781943,ok,500,0,0.617469,809.757644,1.005396,0.867,1.7831,2.24615,0.640625,103.750198,12.968775,187.949219,188.804688,188.871094,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,500,3,781944,ok,500,0,0.004474,111749.322012,0.004724,0.0044,0.0055,0.013813,0.0,0.0,0.0,188.851562,188.878906,188.878906,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,500,3,781944,ok,500,0,0.021995,22732.33576,0.006345,0.0052,0.0097,0.018806,0.015625,71.038549,8.879819,188.902344,188.976562,189.039062,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999992,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,500,3,781944,ok,500,0,0.464863,1075.586173,0.773152,0.515,1.3971,2.16806,0.453125,97.474997,12.184375,188.960938,189.101562,189.175781,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,500,3,781944,ok,500,0,0.352729,1417.517225,0.590016,0.5035,1.1648,1.53504,0.34375,97.454309,12.181789,189.160156,188.804688,189.328125,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,500,4,781945,ok,500,0,0.006645,75242.279286,0.007256,0.0078,0.0119,0.017205,0.015625,235.132123,29.391515,189.105469,189.125,189.128906,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,500,4,781945,ok,500,0,0.026256,19043.266356,0.012389,0.0054,0.01581,0.023615,0.03125,119.020415,14.877552,189.113281,189.160156,189.222656,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999992,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,500,4,781945,ok,500,0,0.40161,1244.989229,2.17167,0.566,13.4967,28.1369,0.390625,97.264784,12.158098,189.179688,188.527344,189.347656,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.952925,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,500,4,781945,ok,500,0,0.405079,1234.326522,2.142632,0.539,6.8572,33.28211,0.390625,96.43176,12.05397,188.582031,189.011719,189.0625,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,500,5,781946,ok,500,0,0.005438,91943.878057,0.005731,0.0042,0.013,0.027424,0.0,0.0,0.0,189.058594,189.078125,189.082031,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,500,5,781946,ok,500,0,0.028475,17559.38588,0.006565,0.0051,0.014905,0.018847,0.03125,109.746162,13.71827,189.042969,189.128906,189.191406,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999992,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,500,5,781946,ok,500,0,0.433328,1153.859823,1.554034,0.56,7.4066,20.69116,0.40625,93.751111,11.718889,189.113281,188.378906,189.34375,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.945165,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,500,5,781946,ok,500,0,0.447479,1117.370122,0.75156,0.561,1.4288,1.98937,0.4375,97.769886,12.221236,188.507812,189.042969,189.089844,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,500,6,781947,ok,500,0,0.009603,52064.352078,0.010271,0.0091,0.0162,0.021917,0.015625,162.7011,20.337638,189.046875,189.0625,189.066406,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,500,6,781947,ok,500,0,0.030524,16380.660368,0.007169,0.0055,0.0163,0.023603,0.015625,51.189564,6.398695,189.054688,189.121094,189.183594,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999992,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,500,6,781947,ok,500,0,0.367159,1361.80894,1.876036,0.444,7.6195,26.60791,0.328125,89.368712,11.171089,189.082031,188.378906,189.261719,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.994265,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,500,6,781947,ok,500,0,0.372657,1341.715657,1.89114,0.516,11.43725,30.25166,0.375,100.628674,12.578584,188.503906,189.03125,189.105469,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,500,7,781948,ok,500,0,0.00965,51815.6192,0.010548,0.0087,0.0166,0.026933,0.015625,161.92381,20.240476,188.589844,188.605469,188.609375,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,500,7,781948,ok,500,0,0.042678,11715.638018,0.010319,0.0098,0.0219,0.026626,0.046875,109.834106,13.729263,188.597656,188.679688,188.738281,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999992,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,500,7,781948,ok,500,0,0.402871,1241.090829,0.59735,0.501,1.08425,1.51362,0.390625,96.960221,12.120028,188.679688,188.820312,188.894531,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,500,7,781948,ok,500,0,0.41658,1200.249076,0.691572,0.5515,1.28855,1.52155,0.40625,97.520237,12.19003,189.113281,188.550781,189.398438,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,500,8,781949,ok,500,0,0.004474,111764.312538,0.004636,0.0043,0.0057,0.010228,0.0,0.0,0.0,188.816406,188.863281,188.863281,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,500,8,781949,ok,500,0,0.041886,11937.191285,0.012467,0.0097,0.020805,0.030518,0.078125,186.518614,23.314827,188.894531,188.949219,189.011719,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999992,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,500,8,781949,ok,500,0,0.423003,1182.025272,0.688218,0.541,1.3232,1.59309,0.453125,107.12104,13.39013,188.949219,188.414062,189.148438,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,500,8,781949,ok,500,0,0.346525,1442.896505,1.784104,0.477,11.59305,25.82706,0.34375,99.199135,12.399892,188.527344,189.125,189.191406,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,500,9,781950,ok,500,0,0.012514,39953.972822,0.013316,0.0135,0.019615,0.039284,0.015625,124.856165,15.607021,189.46875,189.488281,189.492188,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,500,9,781950,ok,500,0,0.077873,6420.677668,0.005603,0.0053,0.00701,0.012803,0.078125,100.323089,12.540386,189.121094,189.183594,189.246094,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999992,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,500,9,781950,ok,500,0,0.312698,1598.988415,1.672654,0.4255,8.74155,25.68293,0.3125,99.936776,12.492097,189.171875,189.324219,189.398438,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.978091,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,500,9,781950,ok,500,0,0.462932,1080.072702,1.146662,0.61,1.5931,9.77041,0.46875,101.256816,12.657102,189.320312,189.4375,189.492188,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.902638,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,1000,0,831941,ok,1000,0,0.021093,47408.868131,0.010738,0.0095,0.0175,0.027105,0.03125,148.152713,18.519089,189.5,189.546875,189.550781,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,1000,0,831941,ok,1000,0,0.137756,7259.196129,0.012759,0.0105,0.0224,0.038059,0.171875,124.767433,15.595929,189.566406,189.871094,189.925781,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999998,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,1000,0,831941,ok,1000,0,0.74456,1343.074924,0.592469,0.485,1.08925,1.40728,0.734375,98.632065,12.329008,189.882812,190.601562,190.605469,1000,3000,0,1000,2000,1000,1000,0,1000,10000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,1000,0,831941,ok,1000,0,0.863367,1158.255588,1.108046,0.541,1.42915,13.29184,0.828125,95.918041,11.989755,190.742188,199.804688,199.808594,1000,2992,8,1000,1992,1000,1000,0,1000,9992,9.992,0,0.888207,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,1000,1,831942,ok,1000,0,0.012968,77114.082437,0.006835,0.0049,0.0151,0.024207,0.03125,240.981508,30.122688,199.996094,200.066406,200.070312,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,1000,1,831942,ok,1000,0,0.044368,22538.665078,0.005613,0.0048,0.011505,0.017009,0.0625,140.866657,17.608332,199.859375,200.089844,200.148438,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999998,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,1000,1,831942,ok,1000,0,0.729505,1370.792712,0.621657,0.466,1.1201,1.37137,0.78125,107.093181,13.386648,200.105469,199.363281,200.332031,1000,3000,0,1000,2000,1000,1000,0,1000,10000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,1000,1,831942,ok,1000,0,0.816776,1224.325586,0.672061,0.54,1.3081,1.61307,0.84375,103.302471,12.912809,199.488281,199.859375,200.230469,1000,3000,0,1000,2000,1000,1000,0,1000,10000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,1000,2,831943,ok,1000,0,0.011013,90804.252965,0.005906,0.0049,0.0102,0.0156,0.015625,141.881645,17.735206,200.535156,200.601562,200.605469,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,1000,2,831943,ok,1000,0,0.089675,11151.404847,0.011259,0.01,0.02051,0.025607,0.109375,121.968491,15.246061,200.609375,200.8125,200.867188,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999998,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,1000,2,831943,ok,1000,0,0.816026,1225.45115,0.690853,0.499,1.19805,1.55482,0.796875,97.653139,12.206642,200.152344,199.816406,200.441406,1000,3000,0,1000,2000,1000,1000,0,1000,10000,10.0,0,0.890071,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,1000,2,831943,ok,1000,0,0.896981,1114.850692,0.761994,0.561,1.3253,1.67516,0.9375,104.517252,13.064657,199.898438,200.457031,201.148438,1000,3000,0,1000,2000,1000,1000,0,1000,10000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,1000,3,831944,ok,1000,0,0.012436,80413.647508,0.006711,0.0051,0.0127,0.021002,0.015625,125.646324,15.705791,200.609375,200.664062,200.667969,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,1000,3,831944,ok,1000,0,0.128368,7790.109526,0.009731,0.00585,0.017305,0.02632,0.15625,121.720461,15.215058,200.699219,200.878906,200.941406,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999998,0,0,0,0,
