index,phase,preferred_agent,reassignments,run_id,status,utility_agent-alpha,utility_agent-beta,utility_agent-gamma,winner
77,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.959472,agent-gamma
78,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.959998,agent-gamma
79,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.960474,agent-gamma
80,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.960907,agent-gamma
81,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.961302,agent-gamma
82,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.961665,agent-gamma
83,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.961998,agent-gamma
84,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.962305,agent-gamma
85,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.96259,agent-gamma
86,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.962855,agent-gamma
87,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.963101,agent-gamma
88,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.963331,agent-gamma
89,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.963546,agent-gamma
90,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.963748,agent-gamma
91,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.963937,agent-gamma
92,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.964115,agent-gamma
93,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.964283,agent-gamma
94,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.964442,agent-gamma
95,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.964592,agent-gamma
96,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.964734,agent-gamma
97,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.964869,agent-gamma
98,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.964998,agent-gamma
99,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.965119,agent-gamma
100,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.965236,agent-gamma
101,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.965346,agent-gamma
102,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.965452,agent-gamma
103,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.965553,agent-gamma
104,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.96565,agent-gamma
105,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.965742,agent-gamma
106,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.965831,agent-gamma
107,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.965916,agent-gamma
108,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.965997,agent-gamma
109,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.966076,agent-gamma
110,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.966151,agent-gamma
111,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.966224,agent-gamma
112,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.966293,agent-gamma
113,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.966361,agent-gamma
114,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.966426,agent-gamma
115,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.966488,agent-gamma
116,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.966549,agent-gamma
117,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.966607,agent-gamma
118,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.966664,agent-gamma
119,2,agent-gamma,0,ma_20260909T153833Z_42844,ok,0.946809,0.836665,0.966718,agent-gamma
