task_index,task_id,task_type,submitted_at,completed_at,campaign_elapsed_sec,winner,status,latency_ms,reassignments,proposals_json,refusals_json,result_pid,result_host,idempotency_replayed
86,cnp_endurance_multivm_20260918T124034Z-task-0000086,detect.synthetic,2026-09-18T12:45:22.727580+00:00,2026-09-18T12:45:22.778194+00:00,17.25,ubuntu-beta,ok,50.579,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.954713}",{},3690,andy-VirtualBox,False
87,cnp_endurance_multivm_20260918T124034Z-task-0000087,correlate.synthetic,2026-09-18T12:45:22.928731+00:00,2026-09-18T12:45:22.973915+00:00,17.453,ubuntu-beta,ok,45.105,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.936739}",{},3690,andy-VirtualBox,False
88,cnp_endurance_multivm_20260918T124034Z-task-0000088,parse.synthetic,2026-09-18T12:45:23.127728+00:00,2026-09-18T12:45:23.183543+00:00,17.656,ubuntu-beta,ok,55.867,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.925046}",{},3690,andy-VirtualBox,False
89,cnp_endurance_multivm_20260918T124034Z-task-0000089,route.synthetic,2026-09-18T12:45:23.328115+00:00,2026-09-18T12:45:23.382861+00:00,17.86,ubuntu-beta,ok,54.919,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.979072}",{},3690,andy-VirtualBox,False
90,cnp_endurance_multivm_20260918T124034Z-task-0000090,detect.synthetic,2026-09-18T12:45:23.523865+00:00,2026-09-18T12:45:23.576938+00:00,18.063,ubuntu-beta,ok,53.324,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.95507}",{},3690,andy-VirtualBox,False
91,cnp_endurance_multivm_20260918T124034Z-task-0000091,correlate.synthetic,2026-09-18T12:45:23.728132+00:00,2026-09-18T12:45:23.767435+00:00,18.25,ubuntu-beta,ok,39.631,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.937103}",{},3690,andy-VirtualBox,False
92,cnp_endurance_multivm_20260918T124034Z-task-0000092,parse.synthetic,2026-09-18T12:45:23.927947+00:00,2026-09-18T12:45:23.979249+00:00,18.453,ubuntu-beta,ok,51.666,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.925368}",{},3690,andy-VirtualBox,False
93,cnp_endurance_multivm_20260918T124034Z-task-0000093,route.synthetic,2026-09-18T12:45:24.123416+00:00,2026-09-18T12:45:24.171354+00:00,18.656,ubuntu-beta,ok,48.074,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.979402}",{},3690,andy-VirtualBox,False
94,cnp_endurance_multivm_20260918T124034Z-task-0000094,detect.synthetic,2026-09-18T12:45:24.326374+00:00,2026-09-18T12:45:24.378578+00:00,18.86,ubuntu-beta,ok,52.166,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.955404}",{},3690,andy-VirtualBox,False
95,cnp_endurance_multivm_20260918T124034Z-task-0000095,correlate.synthetic,2026-09-18T12:45:24.519157+00:00,2026-09-18T12:45:24.562015+00:00,19.047,ubuntu-beta,ok,43.143,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.937438}",{},3690,andy-VirtualBox,False
96,cnp_endurance_multivm_20260918T124034Z-task-0000096,parse.synthetic,2026-09-18T12:45:24.728357+00:00,2026-09-18T12:45:24.765561+00:00,19.25,ubuntu-beta,ok,37.415,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.925678}",{},3690,andy-VirtualBox,False
97,cnp_endurance_multivm_20260918T124034Z-task-0000097,route.synthetic,2026-09-18T12:45:24.926544+00:00,2026-09-18T12:45:24.964554+00:00,19.438,ubuntu-beta,ok,37.989,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.979711}",{},3690,andy-VirtualBox,False
98,cnp_endurance_multivm_20260918T124034Z-task-0000098,detect.synthetic,2026-09-18T12:45:25.127129+00:00,2026-09-18T12:45:25.176566+00:00,19.656,ubuntu-beta,ok,49.921,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.955711}",{},3690,andy-VirtualBox,False
99,cnp_endurance_multivm_20260918T124034Z-task-0000099,correlate.synthetic,2026-09-18T12:45:25.328091+00:00,2026-09-18T12:45:25.372612+00:00,19.86,ubuntu-beta,ok,44.833,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.93775}",{},3690,andy-VirtualBox,False
