source_id,source_group,path,adapter,true_family,run_id,expected_route,predicted_family,correct,fallback,confidence_margin,confidence_is_calibrated_probability,model,scores_json,reasons,sample_rows,neutral_artifact,latency_sec,error
win_app_live,windows_host_current,data/raw/windows_events/Application.evtx,windows_evtx,windows,router_independent_20260910T093225Z,windows,windows,True,False,120,False,models/isolation_forest_windows_local.joblib,"{""bgl"": 79, ""fallback"": 1, ""hdfs"": 16, ""linux"": 97, ""linux_auth"": 35, ""network"": 12, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": 217}","colonnes windows: component,event,host,pid,recno,severity,source,tid | colonnes hdfs: component,event | colonnes bgl: component,event,severity,source | colonnes linux: host,message,pid,severity | marqueurs windows: windows,win_event,microsoft-windows | marqueurs bgl: ras | marqueurs linux_auth: auth | marqueurs linux: kernel,auth | features reseau=1 | features windows=11 | features bgl=1 | features linux=3",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_001.csv,0.16855760000180453,
win_system_live,windows_host_current,data/raw/windows_events/System.evtx,windows_evtx,windows,router_independent_20260910T093225Z,windows,windows,True,False,125,False,models/isolation_forest_windows_local.joblib,"{""bgl"": 32, ""fallback"": 1, ""hdfs"": 16, ""linux"": 42, ""linux_auth"": 0, ""network"": 0, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": 167}","colonnes windows: component,event,host,pid,recno,severity,source,tid | colonnes hdfs: component,event | colonnes bgl: component,event,severity,source | colonnes linux: host,message,pid,severity | marqueurs windows: windows,win_event | features windows=6 | features linux=1",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_002.csv,0.02515320002567023,
win_security_admin,windows_host_current,data/raw/windows_events_admin/Security.evtx,windows_evtx,windows,router_independent_20260910T093225Z,windows,windows,True,False,140,False,models/isolation_forest_windows_local.joblib,"{""bgl"": 32, ""fallback"": 1, ""hdfs"": 16, ""linux"": 77, ""linux_auth"": 35, ""network"": 12, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": 217}","colonnes windows: component,event,host,pid,recno,severity,source,tid | colonnes hdfs: component,event | colonnes bgl: component,event,severity,source | colonnes linux: host,message,pid,severity | marqueurs windows: windows,win_event,microsoft-windows,security-auditing | marqueurs linux_auth: auth | marqueurs linux: auth | features reseau=1 | features windows=11 | features linux=1",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_003.csv,0.03609810001216829,
win_app_20260518,windows_host_snapshots,data/raw/windows_events/20260518_101329/Application.evtx,windows_evtx,windows,router_independent_20260910T093225Z,windows,windows,True,False,120,False,models/isolation_forest_windows_local.joblib,"{""bgl"": 79, ""fallback"": 1, ""hdfs"": 16, ""linux"": 97, ""linux_auth"": 35, ""network"": 12, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": 217}","colonnes windows: component,event,host,pid,recno,severity,source,tid | colonnes hdfs: component,event | colonnes bgl: component,event,severity,source | colonnes linux: host,message,pid,severity | marqueurs windows: windows,win_event,microsoft-windows | marqueurs bgl: ras | marqueurs linux_auth: auth | marqueurs linux: kernel,auth | features reseau=1 | features windows=11 | features bgl=1 | features linux=3",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_004.csv,0.05359889997635037,
win_system_20260518,windows_host_snapshots,data/raw/windows_events/20260518_101329/System.evtx,windows_evtx,windows,router_independent_20260910T093225Z,windows,windows,True,False,125,False,models/isolation_forest_windows_local.joblib,"{""bgl"": 32, ""fallback"": 1, ""hdfs"": 16, ""linux"": 42, ""linux_auth"": 0, ""network"": 0, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": 167}","colonnes windows: component,event,host,pid,recno,severity,source,tid | colonnes hdfs: component,event | colonnes bgl: component,event,severity,source | colonnes linux: host,message,pid,severity | marqueurs windows: windows,win_event | features windows=6 | features linux=1",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_005.csv,0.06069790001492947,
win_app_20260529,windows_host_snapshots,data/raw/windows_events/20260529_102842/Application.evtx,windows_evtx,windows,router_independent_20260910T093225Z,windows,windows,True,False,70,False,models/isolation_forest_windows_local.joblib,"{""bgl"": 44, ""fallback"": 1, ""hdfs"": 40, ""linux"": 97, ""linux_auth"": 0, ""network"": 0, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": 167}","colonnes windows: component,event,host,pid,recno,severity,source,tid | colonnes hdfs: component,event | colonnes bgl: component,event,severity,source | colonnes linux: host,message,pid,severity | marqueurs windows: windows,win_event | marqueurs linux: kernel | features windows=6 | features hdfs=2 | features bgl=1 | features linux=3",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_006.csv,0.0584169999929145,
win_system_20260529,windows_host_snapshots,data/raw/windows_events/20260529_102842/System.evtx,windows_evtx,windows,router_independent_20260910T093225Z,windows,windows,True,False,125,False,models/isolation_forest_windows_local.joblib,"{""bgl"": 32, ""fallback"": 1, ""hdfs"": 16, ""linux"": 42, ""linux_auth"": 0, ""network"": 0, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": 167}","colonnes windows: component,event,host,pid,recno,severity,source,tid | colonnes hdfs: component,event | colonnes bgl: component,event,severity,source | colonnes linux: host,message,pid,severity | marqueurs windows: windows,win_event | features windows=6 | features linux=1",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_007.csv,0.02799349999986589,
linux_auth_balanced,linux_auth_generated_corpus,data/raw/Datasets/linux_auth_logs_full(balanced).csv,csv,linux_auth,router_independent_20260910T093225Z,linux_auth,linux_auth,True,False,83,False,models/random_forest_linux_auth.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 75, ""linux_auth"": 158, ""network"": 44, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": 0}","colonnes network: service | colonnes linux_auth: anomaly_label,attempts,server,service,status,username | colonnes linux: anomaly_label,attempts,server,status,username | features reseau=3 | features linux/auth=5",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_008.csv,0.027410599985159934,
linux_auth_unbalanced,linux_auth_generated_corpus,data/raw/Datasets/linux_auth_logs_full(new_unbalanced).csv,csv,linux_auth,router_independent_20260910T093225Z,linux_auth,linux_auth,True,False,83,False,models/random_forest_linux_auth.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 75, ""linux_auth"": 158, ""network"": 44, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": 0}","colonnes network: service | colonnes linux_auth: anomaly_label,attempts,server,service,status,username | colonnes linux: anomaly_label,attempts,server,status,username | features reseau=3 | features linux/auth=5",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_009.csv,0.03640889993403107,
linux_auth_multiple,linux_auth_generated_corpus,data/raw/Datasets/linux_auth_logs_multiple_anomalies.csv,csv,linux_auth,router_independent_20260910T093225Z,linux_auth,linux_auth,True,False,78,False,models/random_forest_linux_auth.joblib,"{""bgl"": 35, ""fallback"": 1, ""hdfs"": 0, ""linux"": 91, ""linux_auth"": 169, ""network"": 44, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": 0}","colonnes network: service | colonnes linux_auth: attempts,service,status,username | colonnes linux: attempts,status,username | marqueurs bgl: ras | marqueurs linux_auth: sudo | marqueurs linux: ubuntu,sudo | features reseau=3 | features linux/auth=4",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_010.csv,0.013254799996502697,
linux_2k,loghub_linux,data/raw/Datasets/Linux_2k.log,linux_text,linux,router_independent_20260910T093225Z,linux,linux,True,False,198,False,models/isolation_forest_linux_colab.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 233, ""linux_auth"": 35, ""network"": 12, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": -40}","subtype syslog: modele linux privilegie | colonnes linux: message | marqueurs linux_auth: auth,sshd | marqueurs linux: linux,syslog,auth,sshd | features reseau=1 | features linux=5",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_011.csv,0.009715600055642426,
