seed,feature,coefficient,absolute_coefficient,coefficient_space
43,Subflow Bwd Pkts,-1.5127091775672776,1.5127091775672776,after_train_only_standardization
43,Subflow Bwd Byts,-0.8164856441998508,0.8164856441998508,after_train_only_standardization
43,Init Fwd Win Byts,0.8789866306510955,0.8789866306510955,after_train_only_standardization
43,Init Bwd Win Byts,-0.6734905430856528,0.6734905430856528,after_train_only_standardization
43,Fwd Act Data Pkts,-0.14779807059106484,0.14779807059106484,after_train_only_standardization
43,Fwd Seg Size Min,8.462960588971871,8.462960588971871,after_train_only_standardization
43,Active Mean,0.025289826882634574,0.025289826882634574,after_train_only_standardization
43,Active Std,0.11393641780430709,0.11393641780430709,after_train_only_standardization
43,Active Max,-0.186105615412981,0.186105615412981,after_train_only_standardization
43,Active Min,0.12775322614242032,0.12775322614242032,after_train_only_standardization
43,Idle Mean,0.11171594939207674,0.11171594939207674,after_train_only_standardization
43,Idle Std,-0.2584703334454498,0.2584703334454498,after_train_only_standardization
43,Idle Max,0.510898140510116,0.510898140510116,after_train_only_standardization
43,Idle Min,0.0771802687874473,0.0771802687874473,after_train_only_standardization
44,Dst Port,-9.492021889737586,9.492021889737586,after_train_only_standardization
44,Protocol,0.6608384369137303,0.6608384369137303,after_train_only_standardization
44,Flow Duration,-0.9932682406070734,0.9932682406070734,after_train_only_standardization
44,Tot Fwd Pkts,0.35770121979435276,0.35770121979435276,after_train_only_standardization
44,Tot Bwd Pkts,-1.4678489453913839,1.4678489453913839,after_train_only_standardization
44,TotLen Fwd Pkts,-1.1998262718311594,1.1998262718311594,after_train_only_standardization
44,TotLen Bwd Pkts,-0.964967640487516,0.964967640487516,after_train_only_standardization
44,Fwd Pkt Len Max,-0.48191246864104725,0.48191246864104725,after_train_only_standardization
44,Fwd Pkt Len Min,0.29082172320803334,0.29082172320803334,after_train_only_standardization
44,Fwd Pkt Len Mean,0.30364642611321585,0.30364642611321585,after_train_only_standardization
44,Fwd Pkt Len Std,2.3689617603246,2.3689617603246,after_train_only_standardization
44,Bwd Pkt Len Max,-0.05480671534906462,0.05480671534906462,after_train_only_standardization
44,Bwd Pkt Len Min,-0.3780927460431842,0.3780927460431842,after_train_only_standardization
44,Bwd Pkt Len Mean,-0.16806585866154808,0.16806585866154808,after_train_only_standardization
44,Bwd Pkt Len Std,2.68363626142316,2.68363626142316,after_train_only_standardization
44,Flow Byts/s,-1.163658557759611,1.163658557759611,after_train_only_standardization
44,Flow Pkts/s,1.0643230823559757,1.0643230823559757,after_train_only_standardization
44,Flow IAT Mean,0.18899283252156557,0.18899283252156557,after_train_only_standardization
44,Flow IAT Std,0.2630837525783522,0.2630837525783522,after_train_only_standardization
44,Flow IAT Max,-0.3649118940210817,0.3649118940210817,after_train_only_standardization
44,Flow IAT Min,-0.19008736479843386,0.19008736479843386,after_train_only_standardization
44,Fwd IAT Tot,-0.890127549785523,0.890127549785523,after_train_only_standardization
44,Fwd IAT Mean,0.6963764917250376,0.6963764917250376,after_train_only_standardization
44,Fwd IAT Std,-0.13137802263838508,0.13137802263838508,after_train_only_standardization
44,Fwd IAT Max,0.2865648044474014,0.2865648044474014,after_train_only_standardization
44,Fwd IAT Min,0.7769944409417651,0.7769944409417651,after_train_only_standardization
44,Bwd IAT Tot,-1.9104761753867374,1.9104761753867374,after_train_only_standardization
44,Bwd IAT Mean,1.1997380759449716,1.1997380759449716,after_train_only_standardization
44,Bwd IAT Std,1.0111852519320694,1.0111852519320694,after_train_only_standardization
44,Bwd IAT Max,0.5541750700061183,0.5541750700061183,after_train_only_standardization
44,Bwd IAT Min,0.927544650640578,0.927544650640578,after_train_only_standardization
44,Fwd PSH Flags,-0.4065394309457816,0.4065394309457816,after_train_only_standardization
44,Bwd PSH Flags,0.0,0.0,after_train_only_standardization
44,Fwd URG Flags,0.0,0.0,after_train_only_standardization
44,Bwd URG Flags,0.0,0.0,after_train_only_standardization
44,Fwd Header Len,3.8171913280562806,3.8171913280562806,after_train_only_standardization
44,Bwd Header Len,-0.8261479146522357,0.8261479146522357,after_train_only_standardization
44,Fwd Pkts/s,1.0167113338846037,1.0167113338846037,after_train_only_standardization
