run_id,seed,feature,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,coefficient
final_csecic_lr_forensic_20260910T235954Z,42,Idle Min,20000,0.5,0.12,0.0024,0.004705882352941176,0.49868408546626974,-0.07638287395970011,0.0176,24,176,9824,9976,200,0.5161421313609211
final_csecic_lr_forensic_20260910T235954Z,43,Dst Port,20000,0.5,0.9995002498750625,1.0,0.9997500624843789,0.9994148172749068,0.9995001249375234,0.0005,10000,5,9995,0,10005,-22.067513545004402
final_csecic_lr_forensic_20260910T235954Z,43,Protocol,20000,0.5,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,10000,10000,0,0,20000,-1.5301779033000047
final_csecic_lr_forensic_20260910T235954Z,43,Flow Duration,20000,0.5,0.11052631578947368,0.0021,0.0041216879293424925,0.31005000637589636,-0.07628561945613306,0.0169,21,169,9831,9979,190,0.3193199572423233
final_csecic_lr_forensic_20260910T235954Z,43,Tot Fwd Pkts,20000,0.5,0.9501483111663955,0.993,0.9711016576206543,0.9824666599817455,0.9418583622413476,0.0521,9930,521,9479,70,10451,-0.046191228928906924
final_csecic_lr_forensic_20260910T235954Z,43,Tot Bwd Pkts,20000,0.5,0.9915219189412737,0.959,0.9749898332655551,0.974299765258632,0.9513118673886066,0.0082,9590,82,9918,410,9672,-3.15350998086275
final_csecic_lr_forensic_20260910T235954Z,43,TotLen Fwd Pkts,20000,0.5,0.4999499799919968,0.9995,0.666511069618565,0.9896438188888936,-0.005001000300100035,0.9997,9995,9997,3,5,19992,-0.015377159802713975
final_csecic_lr_forensic_20260910T235954Z,43,TotLen Bwd Pkts,20000,0.5,0.5070318282753515,0.959,0.6633464757556893,0.9699113645675137,0.05869147602269753,0.9324,9590,9324,676,410,18914,-7.211352981107999
final_csecic_lr_forensic_20260910T235954Z,43,Fwd Pkt Len Max,20000,0.5,0.03976335951896033,0.041,0.04037221210181675,0.48033663022326994,-0.9495593227285211,0.9901,410,9901,99,9590,10311,0.597508031667121
final_csecic_lr_forensic_20260910T235954Z,43,Fwd Pkt Len Min,20000,0.5,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,10000,10000,0,0,20000,-1.5471615616923198
