replicate,resampling_unit,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,threshold
21,block_id,2000,0.0155,0.8857142857142857,1.0,0.9393939393939394,0.9017473712744859,0.9401675210907099,0.002031488065007618,31,4,1965,0,35,1.2729429339548877
22,block_id,2000,0.0145,0.7837837837837838,1.0,0.8787878787878788,0.8045899791027228,0.8835171307499067,0.004058853373921867,29,8,1963,0,37,1.2729429339548877
23,block_id,2000,0.0115,0.8214285714285714,1.0,0.9019607843137255,0.8499193155523078,0.90518015288902,0.0025290844714213456,23,5,1972,0,28,1.2729429339548877
24,block_id,2000,0.0165,0.8048780487804879,1.0,0.8918918918918919,0.8218482432935351,0.8953236975624325,0.004067107269954245,33,8,1959,0,41,1.2729429339548877
25,block_id,2000,0.0105,0.6774193548387096,1.0,0.8076923076923077,0.7078788765424711,0.8209727864907415,0.005053057099545225,21,10,1969,0,31,1.2729429339548877
26,block_id,2000,0.0115,0.6764705882352942,1.0,0.8070175438596491,0.7715759202804682,0.8201870003012239,0.00556398583712696,23,11,1966,0,34,1.2729429339548877
27,block_id,2000,0.0105,0.84,1.0,0.9130434782608695,0.9085667273902568,0.9155884298168872,0.00202122283981809,21,4,1975,0,25,1.2729429339548877
28,block_id,2000,0.013,0.7222222222222222,1.0,0.8387096774193549,0.788156288156288,0.847681277574763,0.005065856129685917,26,10,1964,0,36,1.2729429339548877
29,block_id,2000,0.015,0.7894736842105263,1.0,0.8823529411764706,0.778751461988304,0.8867173730711032,0.0040609137055837565,30,8,1962,0,38,1.2729429339548877
30,block_id,2000,0.0115,0.6571428571428571,1.0,0.7931034482758621,0.7707405637840421,0.8081795157226171,0.006069802731411229,23,12,1965,0,35,1.2729429339548877
31,block_id,2000,0.013,0.6842105263157895,1.0,0.8125,0.7674715635241951,0.8246521641330425,0.0060790273556231,26,12,1962,0,38,1.2729429339548877
